Status,Property_value
S,62
S,52
NS,71
S,84
S,98
S,65
S,39
NS,60
NS,88
S,65
S,92
S,77
S,68
S,59
S,37
S,39
S,18
S,95
S,1
S,61
S,14
S,51
S,88
S,21
S,82
S,16
S,68
S,67
S,100
S,50
S,45
S,28
S,44
S,35
S,0
S,15
S,19
S,17
S,3
S,32
S,3
S,25
S,19
S,76
S,29
S,30
NS,44
S,26
S,86
S,96
S,11
S,40
S,62
S,96
S,21
S,18
NS,57
S,92
S,91
S,85
S,97
S,56
S,9
NS,34
S,30
S,17
S,9
S,83
S,9
NS,24
S,64
S,28
NS,87
S,7
S,36
S,98
NS,41
S,7
NS,65
S,36
S,6
S,84
S,8
NS,56
S,56
S,32
S,80
S,96
NS,34
NS,57
S,6
S,49
S,82
S,96
S,41
NS,76
NS,40
S,66
S,98
S,74
S,85
S,44
S,9
S,36
S,18
S,81
S,88
S,75
S,96
S,82
S,28
S,61
S,80
NS,39
S,90
S,83
NS,63
S,0
S,78
S,4
NS,47
S,98
NS,89
S,95
S,1
S,36
NS,19
NS,100
S,94
S,88
NS,96
S,55
NS,89
S,64
NS,6
S,88
S,56
S,89
S,20
S,72
S,23
S,21
S,9
S,62
S,6
S,58
NS,93
S,26
NS,52
S,1
NS,59
NS,75
NS,25
NS,65
NS,72
NS,52
NS,18
NS,43
NS,46
NS,15
NS,81
NS,84
S,99
S,37
NS,61
S,18
S,23
S,14
S,27
S,38
NS,20
S,68
NS,37
NS,89
S,58
S,22
S,88
S,61
S,97
NS,74
S,38
S,14
S,50
NS,97
NS,24
S,22
NS,2
NS,74
S,26
S,4
S,7
S,76
NS,5
S,12
S,43
S,69
S,41
S,54
S,6
S,18
S,15
S,4
S,14
S,74
NS,15
S,30
S,9
NS,28
S,23
S,99
S,58
S,13
S,0
S,45
NS,48
S,46
S,23
NS,51
S,40
S,71
NS,100
NS,83
S,49
S,12
S,26
S,81
S,83
S,67
S,39
S,70
NS,38
S,67
S,58
S,27
S,15
S,50
S,29
S,78
NS,11
S,35
S,38
NS,89
NS,84
S,62
S,77
S,16
S,57
NS,89
S,10
S,33
S,67
S,1
S,30
S,82
S,100
S,56
S,45
NS,67
S,94
S,25
NS,32
NS,43
S,72
S,99
S,40
NS,51
S,90
S,33
S,75
S,89
S,54
S,33
S,89
NS,19
S,35
NS,29
S,61
S,82
S,51
NS,88
S,98
S,86
S,68
S,14
S,53
S,19
S,50
S,3
S,8
S,59
