Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price_per_sqm
Abbotsford,25 Bloomburg St,2,h,S,Biggin,4/02/2016,-1.274011185401783,3067.0,2.0,1.0,0.0,-0.9024626396335592,-0.5289600950914004,1900.0,Yarra City Council,-37.8079,144.9934,Northern Metropolitan,4019.0,13101.26582278481
Abbotsford,5 Charles St,3,h,SP,Biggin,4/03/2017,-1.274011185401783,3067.0,3.0,2.0,0.0,-0.9700429804506916,-0.0009809994662071163,1900.0,Yarra City Council,-37.8093,144.9944,Northern Metropolitan,4019.0,9766.666666666666
Abbotsford,55a Park St,4,h,VB,Nelson,4/06/2016,-1.274011185401783,3067.0,3.0,1.0,2.0,-1.0130486518797759,-0.06047160179017256,2014.0,Yarra City Council,-37.8072,144.9941,Northern Metropolitan,4019.0,11267.605633802817
Abbotsford,124 Yarra St,3,h,S,Nelson,7/05/2016,-1.274011185401783,3067.0,4.0,2.0,0.0,-0.6290694426915239,0.4451985179635337,1910.0,Yarra City Council,-37.8024,144.9993,Northern Metropolitan,4019.0,8933.333333333334
Abbotsford,98 Charles St,2,h,S,Nelson,8/10/2016,-1.274011185401783,3067.0,2.0,1.0,2.0,-0.5952792722829577,-0.3207429869575214,1890.0,Yarra City Council,-37.806,144.9954,Northern Metropolitan,4019.0,15289.719626168224
Abbotsford,10 Valiant St,2,h,S,Biggin,8/10/2016,-1.274011185401783,3067.0,3.0,1.0,2.0,-0.7058652845291743,-0.5587053962533831,1900.0,Yarra City Council,-37.801,144.9989,Northern Metropolitan,4019.0,14626.666666666666
Abbotsford,40 Nicholson St,3,h,VB,Nelson,12/11/2016,-1.274011185401783,3067.0,3.0,2.0,2.0,-0.7242962865702104,0.2964720121536201,2005.0,Yarra City Council,-37.8085,144.9964,Northern Metropolitan,4019.0,7105.263157894737
Abbotsford,123/56 Nicholson St,2,u,S,Biggin,12/11/2016,-1.274011185401783,3067.0,2.0,2.0,1.0,-1.3816686927004975,-0.41741521573396523,2009.0,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019.0,7978.723404255319
Abbotsford,16 William St,2,h,S,Jellis,15/10/2016,-1.274011185401783,3067.0,2.0,1.0,2.0,-0.650572278406066,-0.39510623986247817,1890.0,Yarra City Council,-37.809,144.9976,Northern Metropolitan,4019.0,13505.154639175258
Abbotsford,42 Henry St,3,h,S,Jellis,16/07/2016,-1.274011185401783,3067.0,3.0,2.0,1.0,-1.0345514875943178,-0.29843401108603435,1880.0,Yarra City Council,-37.8056,144.993,Northern Metropolitan,4019.0,10909.09090909091
Abbotsford,78 Yarra St,3,h,S,LITTLE,16/07/2016,-1.274011185401783,3067.0,2.0,1.0,1.0,-0.9577556457566675,-0.33561563753851276,1890.0,Yarra City Council,-37.8021,144.9965,Northern Metropolitan,4019.0,11204.761904761905
Abbotsford,42 Valiant St,2,h,S,Biggin,17/09/2016,-1.274011185401783,3067.0,2.0,1.0,1.0,-0.9208936416745953,-0.5735780468343745,1985.0,Yarra City Council,-37.8011,145.0004,Northern Metropolitan,4019.0,12191.780821917808
Abbotsford,3/72 Charles St,4,h,PI,Kay,18/03/2017,-1.274011185401783,3067.0,4.0,2.0,2.0,1.0143615726341944,-0.11252587882364233,1900.0,Yarra City Council,-37.8073,144.9952,Northern Metropolitan,4019.0,9851.851851851852
Abbotsford,6/219 Nicholson St,2,u,S,Collins,18/06/2016,-1.274011185401783,3067.0,2.0,1.0,1.0,-1.3816686927004975,-0.6702502756108184,1970.0,Yarra City Council,-37.8015,144.9972,Northern Metropolitan,4019.0,8333.333333333334
Abbotsford,52a William St,2,h,PI,Biggin,18/06/2016,-1.274011185401783,3067.0,2.0,2.0,1.0,-1.0007613171857517,-0.11252587882364233,2013.0,Yarra City Council,-37.8079,144.9977,Northern Metropolitan,4019.0,8148.148148148148
Abbotsford,49 Park St,2,h,S,Marshall,19/11/2016,-1.274011185401783,3067.0,2.0,1.0,0.0,-0.9301091426951134,-0.48434214334842635,1900.0,Yarra City Council,-37.808,144.994,Northern Metropolitan,4019.0,15470.588235294117
Abbotsford,48 Abbotsford St,3,h,PI,Nelson,22/08/2016,-1.274011185401783,3067.0,3.0,3.0,1.0,-0.871744302898499,0.1774908075056892,2012.0,Yarra City Council,-37.8017,145.0001,Northern Metropolitan,4019.0,8318.965517241379
Abbotsford,116/56 Nicholson St,1,u,S,Jellis,22/08/2016,-1.274011185401783,3067.0,1.0,1.0,1.0,-1.3816686927004975,-0.7446135285157752,1970.0,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019.0,9140.0
