Listing ID,Address,Suburb,Postcode,PropType,Price,Status,CBD Distance,Bedroom,Bathroom,Car-Garage,Landsize,Building Area,Built Year,RE Agency
REA6524,10/68 Kororoit Creek Rd,Williamstown North,3016,u,285000,S,8.9,1,1,1,272,226.6666667,2011,Williams
REA9338,10/12 St Huberts Rd,Carnegie,3163,u,350000,S,11.4,1,1,1,251,156.875,1980,HockingStuart
REA8004,1/25 Morell St,Glenroy,3046,h,420000,PI,13,3,1,2,400,181.8181818,1989,Raine
REA28612,5/1 King St,Hampton East,3188,u,491000,S,13.8,1,1,1,213,133.125,2013,Buxton
REA18305,24 Crawford Av,Dandenong North,3175,h,614000,S,24.7,4,2,2,680,323.8095238,1980,First National & Partners
REA10603,83 Kingsville St,Kingsville,3012,h,630000,S,7.8,1,1,1,482,344.2857143,2020,Burnham
REA12079,2/16 Odowd St,Reservoir,3073,u,645000,S,11.2,3,1,2,280,233.3333333,2007,Nelson Alexander
REA14559,8/161 Alexandra Av,Toorak,3142,u,650000,VB,4.6,1,1,1,259,161.875,1985,Walsh
REA30871,1 Valma St,Bayswater,3153,h,822000,PI,23.2,5,3,6,721,400.5555556,1980,iTRAK
REA4378,26 Northumberland Rd,Pascoe Vale,3044,h,855000,S,9.9,2,1,2,659,346.8421053,2003,Brad
REA25335,27 Grandison Gr,Oak Park,3046,t,878168,S,11.2,4,2,1,322,201.25,2009,Eview
REA24128,93 Arundel Av,Reservoir,3073,h,901000,S,12,3,1,2,695,278,1995,Barry Plant
REA30651,34 Scotland Av,Greensborough,3088,h,920000,S,16.1,4,1,1,547,227.9166667,1960,Darren
REA20456,33 Kensington Rd,Kensington,3031,h,1225000,SP,3.4,3,2,2,415,166,1940,Nelson Alexander
REA2990,6 Shamrock St,Brunswick West,3055,h,1257625,S,5.9,3,1,1,434,241.1111111,1994,Nelson Alexander
REA12242,10 Hampshire Rd,Doncaster,3108,h,1300000,S,13.9,3,1,2,657,505.3846154,1984,Barry Plant
REA22371,41 Glengyle St,Coburg,3058,h,1326000,S,6.7,3,1,2,524,262,1994,Nelson Alexander
REA14924,197A Jasper Rd,Bentleigh,3204,t,1375000,S,13,3,3,2,338,241.4285714,2000,Buxton
REA28282,1 Benambra Dr,Templestowe Lower,3107,h,1397250,SP,12.4,4,3,2,696,302.6086957,1991,Jellis Craig
REA29965,23 Acheron Av,Camberwell,3124,h,1660000,S,7.7,5,3,2,782,340,1920,Jellis Craig
REA13764,24 Florence St,Coburg,3058,h,1790000,S,7.8,5,3,2,635,423.3333333,2002,Jellis Craig
REA8401,4/14 Trawalla Av,Toorak,3142,t,1800000,S,4.6,2,2,2,307,255.8333333,1985,RT Edgar
REA14276,5 Cumberland Av,Balwyn North,3129,h,1850000,S,9.2,3,2,2,471,362.3076923,2015,Noel Jones
REA14539,73 Middlesex Rd,Surrey Hills,3127,h,2195000,S,11.2,4,3,3,725,290,1971,Jellis Craig
REA30470,1062 Toorak Rd,Camberwell,3124,h,2384875,SP,7.7,4,2,2,623,389.375,1993,HockingStuart
REA15742,15/400 Dandenong Rd,Caulfield North,3161,u,2416250,SP,7.8,2,2,1,227,141.875,2012,Biggin
REA20480,7/226 Glenlyon Rd,Brunswick East,3057,u,320000,S,4,1,1,1,189,157.5,1980,Jellis Craig
REA20285,1/72 Pine St,Reservoir,3073,u,325000,S,12,1,1,1,260,162.5,1970,Barry Plant
REA7451,3/25 Wright St,Essendon,3040,u,325000,S,8,1,1,1,251,209.1666667,2019,Brad
REA19720,2/33 Wedge St,Epping,3076,u,503000,S,19.6,2,2,2,214,152.8571429,2000,Love
REA10363,2/131 Brighton Rd,Elwood,3184,u,507000,S,7.7,2,1,1,282,176.25,2002,Morleys
REA25059,105 Serenity Wy,Craigieburn,3064,h,513000,S,20.6,4,2,2,403,183.1818182,2012,Stockdale
REA8792,808/8 Breavington Wy,Northcote,3070,u,520000,VB,5.5,1,1,1,192,120,2000,Nelson Alexander
REA11892,8/18 Darling St,South Yarra,3141,u,535000,S,3.3,2,1,1,165,103.125,2014,HockingStuart
REA18841,54 Alamein Rd,Heidelberg West,3081,h,580000,S,8.8,2,1,2,498,237.1428571,1955,Harcourts
REA20111,38 Stanhope St,Broadmeadows,3047,h,632000,S,14,3,1,4,697,316.8181818,1960,Ray White
REA21178,5a Kyneton Av,Reservoir,3073,u,635000,S,12,3,1,1,238,170,1995,Barry Plant
REA948,19 Collins St,Heidelberg Heights,3081,h,650000,S,10.5,2,1,3,620,413.3333333,1950,Haughton
REA34426,3/106 Southbank Bvd,Southbank,3006,u,717000,S,0.7,2,2,2,220,183.3333333,1993,RT Edgar
REA4716,19 Reid St,Oakleigh South,3167,h,778000,S,14.7,2,1,1,486,405,1972,Ray White
REA35057,13 Wyalong St,Albion,3020,h,781000,S,10.5,3,2,2,366,244,2015,Barry Plant
REA5155,1/308 Canterbury Rd,Surrey Hills,3127,u,805000,S,11.2,2,1,2,187,133.5714286,1980,HockingStuart
REA10563,11/39 Esplanade Pl,Port Melbourne,3207,u,910000,S,3.8,1,1,1,284,202.8571429,1993,Cayzer
REA6217,20a Percy St,Prahran,3181,h,950000,PI,4.5,2,1,1,420,190.9090909,1984,HockingStuart
REA21764,17 Wentworth Cl,Diamond Creek,3089,h,950000,SP,21.8,4,2,2,700,280,1995,Barry Plant
REA26102,27 Glen Rd,Mitcham,3132,h,958888,S,17.2,4,2,1,700,411.7647059,1994,Ray White
REA10955,9 Sumersett Av,Oakleigh South,3167,h,980000,S,14.7,3,3,2,597,426.4285714,1985,Buxton
REA13376,2 John St,Pascoe Vale,3044,h,1000000,S,9.9,2,2,2,769,480.625,1992,Nelson Alexander
REA15776,8 Kittyhawk St,Airport West,3042,h,1026000,S,10.4,3,1,1,435,271.875,1988,Brad
