PropType,Price,CBD Distance,Bedroom,Bathroom,Car-Garage,Landsize,Building Area,Built Year,RE Agency,Median Price,Median Rental,PropertyCount,Status
u,285000,8.9,1,1,1,272,226.6666667,2011,Williams,1070500,675,802,S
u,350000,11.4,1,1,1,251,156.875,1980,HockingStuart,1480000,505,7822,S
h,420000,13,3,1,2,400,181.8181818,1989,Raine,735000,470,8870,NS
u,491000,13.8,1,1,1,213,133.125,2013,Buxton,1270000,710,2356,S
h,614000,24.7,4,2,2,680,323.8095238,1980,First National & Partners,705000,450,8322,S
h,630000,7.8,1,1,1,482,344.2857143,2020,Burnham,1090000,600,1808,S
u,645000,11.2,3,1,2,280,233.3333333,2007,Nelson Alexander,815000,450,21650,S
u,650000,4.6,1,1,1,259,161.875,1985,Walsh,3930000,600,7217,NS
h,822000,23.2,5,3,6,721,400.5555556,1980,iTRAK,873500,485,5030,NS
h,855000,9.9,2,1,2,659,346.8421053,2003,Brad,897500,490,7485,S
t,878168,11.2,4,2,1,322,201.25,2009,Eview,840500,470,2651,S
h,901000,12,3,1,2,695,278,1995,Barry Plant,815000,450,21650,S
h,920000,16.1,4,1,1,547,227.9166667,1960,Darren,938500,490,8524,S
h,1225000,3.4,3,2,2,415,166,1940,Nelson Alexander,927500,500,5263,S
h,1257625,5.9,3,1,1,434,241.1111111,1994,Nelson Alexander,1225000,620,7082,S
h,1300000,13.9,3,1,2,657,505.3846154,1984,Barry Plant,1320000,600,9028,S
h,1326000,6.7,3,1,2,524,262,1994,Nelson Alexander,1100000,530,11204,S
t,1375000,13,3,3,2,338,241.4285714,2000,Buxton,1885000,600,6795,S
h,1397250,12.4,4,3,2,696,302.6086957,1991,Jellis Craig,1580000,600,5420,S
h,1660000,7.7,5,3,2,782,340,1920,Jellis Craig,2250000,595,8920,S
h,1660000,7.7,5,3,2,782,340,1920,Jellis Craig,2250000,595,8920,S
h,1660000,7.7,5,3,2,782,340,1920,Jellis Craig,2250000,595,8920,S
h,1660000,7.7,5,3,2,782,340,1920,Jellis Craig,2250000,595,8920,S
h,1660000,7.7,5,3,2,782,340,1920,Jellis Craig,2250000,595,8920,S
h,1660000,7.7,5,3,2,782,340,1920,Jellis Craig,2250000,595,8920,S
h,1660000,7.7,5,3,2,782,340,1920,Jellis Craig,2250000,595,8920,S
h,1660000,7.7,5,3,2,782,340,1920,Jellis Craig,2250000,595,8920,S
h,1790000,7.8,5,3,2,635,423.3333333,2002,Jellis Craig,1100000,530,11204,S
t,1800000,4.6,2,2,2,307,255.8333333,1985,RT Edgar,3930000,600,7217,S
h,1850000,9.2,3,2,2,471,362.3076923,2015,Noel Jones,2220000,700,7809,S
h,2195000,11.2,4,3,3,725,290,1971,Jellis Craig,2270000,600,5457,S
h,2384875,7.7,4,2,2,623,389.375,1993,HockingStuart,2250000,595,8920,S
h,2384875,7.7,4,2,2,623,389.375,1993,HockingStuart,2250000,595,8920,S
h,2384875,7.7,4,2,2,623,389.375,1993,HockingStuart,2250000,595,8920,S
h,2384875,7.7,4,2,2,623,389.375,1993,HockingStuart,2250000,595,8920,S
h,2384875,7.7,4,2,2,623,389.375,1993,HockingStuart,2250000,595,8920,S
h,2384875,7.7,4,2,2,623,389.375,1993,HockingStuart,2250000,595,8920,S
h,2384875,7.7,4,2,2,623,389.375,1993,HockingStuart,2250000,595,8920,S
h,2384875,7.7,4,2,2,623,389.375,1993,HockingStuart,2250000,595,8920,S
u,2416250,7.8,2,2,1,227,141.875,2012,Biggin,1975000,825,6923,S
u,320000,4,1,1,1,189,157.5,1980,Jellis Craig,1201000,675,5533,S
u,325000,12,1,1,1,260,162.5,1970,Barry Plant,815000,450,21650,S
u,325000,8,1,1,1,251,209.1666667,2019,Brad,1765000,490,9264,S
u,503000,19.6,2,2,2,214,152.8571429,2000,Love,639000,450,10926,S
u,507000,7.7,2,1,1,282,176.25,2002,Morleys,2030000,520,8989,S
h,513000,20.6,4,2,2,403,183.1818182,2012,Stockdale,646000,460,15510,S
u,520000,5.5,1,1,1,192,120,2000,Nelson Alexander,1690000,580,11364,NS
u,535000,3.3,2,1,1,165,103.125,2014,HockingStuart,2700000,565,14887,S
h,580000,8.8,2,1,2,498,237.1428571,1955,Harcourts,815000,500,2674,S
h,632000,14,3,1,4,697,316.8181818,1960,Ray White,520000,450,4294,S
u,635000,12,3,1,1,238,170,1995,Barry Plant,815000,450,21650,S
h,650000,10.5,2,1,3,620,413.3333333,1950,Haughton,835000,450,2947,S
h,778000,14.7,2,1,1,486,405,1972,Ray White,1046000,550,3692,S
h,781000,10.5,3,2,2,366,244,2015,Barry Plant,670000,400,2185,S
u,805000,11.2,2,1,2,187,133.5714286,1980,HockingStuart,2270000,600,5457,S
u,910000,3.8,1,1,1,284,202.8571429,1993,Cayzer,1735000,675,8648,S
h,950000,4.5,2,1,1,420,190.9090909,1984,HockingStuart,1540000,550,7717,NS
h,950000,21.8,4,2,2,700,280,1995,Barry Plant,970000,550,4258,S
h,958888,17.2,4,2,1,700,411.7647059,1994,Ray White,1155000,495,6871,S
h,980000,14.7,3,3,2,597,426.4285714,1985,Buxton,1046000,550,3692,S
h,1000000,9.9,2,2,2,769,480.625,1992,Nelson Alexander,897500,490,7485,S
h,1026000,10.4,3,1,1,435,271.875,1988,Brad,795000,480,3464,S
h,1131500,13.8,3,1,2,696,435,1984,Christou,1083000,560,2698,S
h,1240000,13.4,2,2,1,618,386.25,1986,Fletchers,1340000,525,2867,NS
u,1250000,1.9,3,2,3,284,236.6666667,2001,Greg,2045000,600,5943,S
u,1257625,5.2,1,1,1,184,115,1960,Barry Plant,1225000,620,7082,S
h,1350000,13.4,5,2,4,664,553.3333333,1950,Ray White,1481000,520,5713,S
h,1355000,8.8,3,1,2,593,370.625,2002,Barry Plant,1079000,500,14577,S
t,1397250,13.8,4,2,2,369,230.625,1996,Allens,1580000,600,5420,S
t,1550000,9,4,2,4,318,227.1428571,1992,Noel Jones,2440000,600,3265,NS
h,1590000,5.2,3,2,1,583,306.8421053,1995,Nelson Alexander,1300000,550,11918,S
h,1631000,12.2,3,2,3,782,325.8333333,2013,Jellis Craig,1310000,560,2894,S
h,1775000,14.2,4,2,1,762,331.3043478,1960,Fletchers,1407000,600,13366,NS
h,1830000,11,2,1,2,474,206.0869565,1999,Marshall White,1715000,560,3052,S
h,2100000,13.8,3,2,1,455,197.826087,1990,Marshall White,2142500,695,5454,S
h,2354875,7.5,3,2,2,468,203.4782609,2004,Marshall White,2215000,770,6482,S
h,3600000,8.4,3,2,2,391,195.5,2007,Marshall White,2440000,600,3265,NS
h,330000,31.7,3,2,1,589,310,2008,Raine,500000,370,3553,S
u,390000,13.7,1,1,0,259,185,2012,Hodges,2142500,695,5454,NS
h,480000,13.3,3,2,1,627,330,1991,Douglas,730000,420,4217,S
u,510000,13.5,2,1,1,141,100.7142857,1993,Nelson Alexander,795000,480,3464,S
u,570000,12,1,1,1,178,127.1428571,2002,Love,815000,450,21650,S
h,675000,31.7,5,2,2,724,482.6666667,2002,Barry Plant,637500,450,14092,S
h,708500,38,2,1,1,775,336.9565217,1980,Barry Plant,698000,475,17055,NS
u,715000,7.2,2,1,1,272,170,2005,Chisholm,2030000,520,8989,S
h,720000,25.9,4,2,2,553,325.2941176,2010,Hamilton,642500,450,5812,S
h,752000,10.4,3,1,7,592,328.8888889,1994,Stockdale,795000,440,1119,S
h,758000,13,2,2,1,492,234.2857143,2013,Stockdale,735000,470,8870,S
h,770000,15.5,4,2,2,670,268,1994.5,YPA,820000,500,5336,NS
h,790125,11.2,3,1,1,433,206.1904762,1995,Nelson Alexander,735000,470,8870,NS
h,811000,26,3,1,3,731,292.4,1957,Barry Plant,760000,500,4654,S
u,830000,10.6,4,2,2,223,139.375,2017,Miles,1265000,500,2890,S
h,832000,11.2,3,1,2,496,248,2009,Nelson Alexander,815000,450,21650,S
